dataset,n_train,arm,m,L,train_acc,acc,cos_sim
CoverType,1000,B_in_dm,1,1,0.956,0.6664,1.0
CoverType,1000,B_in_dm,1,2,0.9747,0.6594,1.0
CoverType,1000,B_in_dm,10,1,0.836,0.6719,0.2614
CoverType,1000,B_in_dm,10,2,0.948,0.6572,0.2614
CoverType,1000,B_in_dm,50,1,0.768,0.6919,0.1011
CoverType,1000,B_in_dm,50,2,0.975,0.6307,0.1011
CoverType,1000,B_in_sqrt,1,1,0.5487,0.4991,1.0
CoverType,1000,B_in_sqrt,1,2,0.552,0.4961,1.0
CoverType,1000,B_in_sqrt,10,1,0.8237,0.6347,0.3291
CoverType,1000,B_in_sqrt,10,2,0.9547,0.6317,0.3291
CoverType,1000,B_in_sqrt,50,1,0.9673,0.6485,0.3595
CoverType,1000,B_in_sqrt,50,2,1.0,0.6877,0.3595
CoverType,1000,C_splitdata_fullcols,1,1,0.9613,0.6648,1.0
CoverType,1000,C_splitdata_fullcols,1,2,0.9747,0.6565,1.0
CoverType,1000,D_dm_fullP,1,1,0.9557,0.6723,1.0
CoverType,1000,D_dm_fullP,1,2,0.9747,0.6643,1.0
CoverType,1000,D_sqrt_fullP,1,1,0.548,0.5008,1.0
CoverType,1000,D_sqrt_fullP,1,2,0.556,0.4979,1.0
CoverType,5000,B_in_dm,1,1,0.8564,0.7409,1.0
CoverType,5000,B_in_dm,1,2,0.877,0.7378,1.0
CoverType,5000,B_in_dm,10,1,0.7623,0.7179,0.2578
CoverType,5000,B_in_dm,10,2,0.8594,0.7286,0.2578
CoverType,5000,B_in_dm,50,1,0.7305,0.7133,0.1138
CoverType,5000,B_in_dm,50,2,0.8812,0.7217,0.1138
CoverType,5000,B_in_sqrt,1,1,0.5309,0.5099,1.0
CoverType,5000,B_in_sqrt,1,2,0.5191,0.505,1.0
CoverType,5000,B_in_sqrt,10,1,0.7496,0.6875,0.308
CoverType,5000,B_in_sqrt,10,2,0.8355,0.6975,0.308
CoverType,5000,B_in_sqrt,50,1,0.8765,0.7354,0.3493
CoverType,5000,B_in_sqrt,50,2,0.9717,0.7618,0.3493
CoverType,5000,C_splitdata_fullcols,1,1,0.8511,0.7394,1.0
CoverType,5000,C_splitdata_fullcols,1,2,0.8681,0.7401,1.0
CoverType,5000,C_splitdata_fullcols,10,1,0.7697,0.7265,0.1164
CoverType,5000,C_splitdata_fullcols,10,2,0.8013,0.7365,0.1164
CoverType,5000,D_dm_fullP,1,1,0.8543,0.7426,1.0
CoverType,5000,D_dm_fullP,1,2,0.8744,0.742,1.0
CoverType,5000,D_dm_fullP,10,1,0.7323,0.7127,0.1841
CoverType,5000,D_dm_fullP,10,2,0.7545,0.7177,0.1841
CoverType,5000,D_sqrt_fullP,1,1,0.5293,0.5092,1.0
CoverType,5000,D_sqrt_fullP,1,2,0.5275,0.5081,1.0
CoverType,5000,D_sqrt_fullP,10,1,0.7043,0.6822,0.2606
CoverType,5000,D_sqrt_fullP,10,2,0.7241,0.6808,0.2606
CoverType,10000,B_in_dm,1,1,0.8218,0.7652,1.0
CoverType,10000,B_in_dm,1,2,0.8366,0.7677,1.0
CoverType,10000,B_in_dm,10,1,0.7428,0.7289,0.2406
