dataset,panel,d,n,seed,method,m,L,feeding,train_acc,train_f1,train_auc,test_acc,test_f1,test_auc,fit_time_s,timestamp
poker,gap,10,40000,0,flat_arccos,0,0,disjoint,0.5742,0.1616,,0.5468,0.1489,,54.919,2026-06-22T23:18:29.497393
poker,gap,10,40000,0,rbf_rff,0,0,disjoint,0.621,0.3588,,0.5614,0.178,,586.383,2026-06-22T23:28:28.399482
poker,gap,10,40000,0,arch,20,1,disjoint,0.5726,0.3342,,0.5454,0.2252,,42.306,2026-06-22T23:29:11.713339
poker,gap,10,40000,0,arch,20,2,disjoint,0.5894,0.3801,,0.548,0.1899,,83.858,2026-06-22T23:30:37.622474
poker,gap,10,40000,0,arch,20,3,disjoint,0.5959,0.4786,,0.5365,0.1858,,126.881,2026-06-22T23:32:47.619303
poker,gap,10,40000,0,arch,20,4,disjoint,0.5996,0.5434,,0.5358,0.1944,,166.292,2026-06-22T23:35:38.123744
poker,gap,10,40000,0,arch,20,5,disjoint,0.6034,0.5878,,0.5262,0.1929,,206.855,2026-06-22T23:39:10.212183
poker,gap,10,40000,0,arch,50,1,disjoint,0.57,0.3901,,0.5456,0.214,,124.284,2026-06-22T23:41:16.055729
poker,gap,10,40000,0,arch,50,2,disjoint,0.5867,0.4648,,0.551,0.1736,,117.069,2026-06-22T23:43:16.660170
poker,gap,10,40000,0,arch,50,3,disjoint,0.5967,0.5365,,0.5518,0.1851,,136.174,2026-06-22T23:45:38.191541
poker,gap,10,40000,0,arch,50,4,disjoint,0.6013,0.5731,,0.5497,0.1923,,156.085,2026-06-22T23:48:21.605230
poker,gap,10,40000,0,arch,50,5,disjoint,0.6063,0.6086,,0.5444,0.1857,,181.358,2026-06-22T23:51:32.171120
poker,gap,10,40000,0,arch,70,1,disjoint,0.5709,0.4143,,0.5454,0.2299,,178.256,2026-06-22T23:54:32.295647
poker,gap,10,40000,0,arch,70,2,disjoint,0.5907,0.531,,0.556,0.1949,,128.163,2026-06-22T23:56:44.968010
poker,gap,10,40000,0,arch,70,3,disjoint,0.5984,0.5391,,0.5593,0.1903,,131.952,2026-06-22T23:59:03.694546
poker,gap,10,40000,0,arch,70,4,disjoint,0.6015,0.5921,,0.5579,0.1999,,142.383,2026-06-23T00:01:35.269986
poker,gap,10,40000,0,arch,70,5,disjoint,0.6053,0.602,,0.5567,0.2084,,162.608,2026-06-23T00:04:29.569493
poker,gap,10,40000,1,flat_arccos,0,0,disjoint,0.5712,0.1586,,0.5418,0.1358,,47.568,2026-06-23T00:05:17.797360
poker,gap,10,40000,1,rbf_rff,0,0,disjoint,0.6205,0.4448,,0.5589,0.1615,,545.609,2026-06-23T00:14:35.748670
poker,gap,10,40000,1,arch,20,1,disjoint,0.5668,0.3978,,0.5455,0.1989,,44.452,2026-06-23T00:15:21.241201
poker,gap,10,40000,1,arch,20,2,disjoint,0.584,0.4422,,0.548,0.1771,,84.021,2026-06-23T00:16:47.451578
poker,gap,10,40000,1,arch,20,3,disjoint,0.5879,0.4729,,0.5488,0.1729,,125.95,2026-06-23T00:18:56.705082
poker,gap,10,40000,1,arch,20,4,disjoint,0.5967,0.583,,0.5401,0.1923,,168.012,2026-06-23T00:21:49.155548
poker,gap,10,40000,1,arch,20,5,disjoint,0.601,0.6368,,0.536,0.1779,,210.714,2026-06-23T00:25:25.368069
poker,gap,10,40000,1,arch,50,1,disjoint,0.5665,0.4564,,0.5472,0.2072,,134.772,2026-06-23T00:27:41.769050
poker,gap,10,40000,1,arch,50,2,disjoint,0.5832,0.5219,,0.5483,0.203,,118.905,2026-06-23T00:29:44.372332
poker,gap,10,40000,1,arch,50,3,disjoint,0.5918,0.57,,0.5564,0.1952,,137.349,2026-06-23T00:32:07.514826
poker,gap,10,40000,1,arch,50,4,disjoint,0.5979,0.6143,,0.5487,0.2046,,159.164,2026-06-23T00:34:54.625348
poker,gap,10,40000,1,arch,50,5,disjoint,0.6014,0.644,,0.5446,0.1885,,183.801,2026-06-23T00:38:08.510629
poker,gap,10,40000,1,arch,70,1,disjoint,0.5662,0.4592,,0.5446,0.2089,,183.38,2026-06-23T00:41:13.849628
poker,gap,10,40000,1,arch,70,2,disjoint,0.5862,0.5563,,0.5508,0.1806,,130.181,2026-06-23T00:43:28.730519
poker,gap,10,40000,1,arch,70,3,disjoint,0.5913,0.6055,,0.5522,0.18,,134.475,2026-06-23T00:45:50.614446
poker,gap,10,40000,1,arch,70,4,disjoint,0.5997,0.6371,,0.5548,0.1943,,150.192,2026-06-23T00:48:30.985477
poker,gap,10,40000,1,arch,70,5,disjoint,0.6026,0.646,,0.5485,0.1628,,176.809,2026-06-23T00:51:40.716622
poker,gap,10,40000,2,flat_arccos,0,0,disjoint,0.5771,0.1699,,0.5471,0.1219,0.4747,53.534,2026-06-23T00:52:34.902542
poker,gap,10,40000,2,rbf_rff,0,0,disjoint,0.6199,0.3596,,0.5575,0.1832,0.4766,619.592,2026-06-23T01:03:06.971758
poker,gap,10,40000,2,arch,20,1,disjoint,0.5758,0.2895,,0.5413,0.1688,0.4662,44.048,2026-06-23T01:03:52.046200
poker,gap,10,40000,2,arch,20,2,disjoint,0.588,0.3632,,0.5484,0.1675,0.4668,84.22,2026-06-23T01:05:18.306884
poker,gap,10,40000,2,arch,20,3,disjoint,0.5963,0.5033,,0.5464,0.188,0.4542,123.665,2026-06-23T01:07:25.080010
poker,gap,10,40000,2,arch,20,4,disjoint,0.5978,0.5507,,0.5348,0.1446,0.4425,162.955,2026-06-23T01:10:12.206475
poker,gap,10,40000,2,arch,20,5,disjoint,0.6051,0.6077,,0.5316,0.1437,0.446,203.4,2026-06-23T01:13:40.801852
poker,gap,10,40000,2,arch,50,1,disjoint,0.5729,0.3878,,0.5429,0.2048,0.45,131.892,2026-06-23T01:15:54.209276
poker,gap,10,40000,2,arch,50,2,disjoint,0.5896,0.4809,,0.5491,0.1478,0.4955,115.058,2026-06-23T01:17:52.670569
poker,gap,10,40000,2,arch,50,3,disjoint,0.5972,0.5499,,0.5434,0.1679,0.5341,132.121,2026-06-23T01:20:10.133579
poker,gap,10,40000,2,arch,50,4,disjoint,0.6049,0.5779,,0.5447,0.1703,0.5487,153.531,2026-06-23T01:22:50.941333
poker,gap,10,40000,2,arch,50,5,disjoint,0.6083,0.5887,,0.5414,0.1631,0.5071,177.897,2026-06-23T01:25:57.918412
poker,gap,10,40000,2,arch,70,1,disjoint,0.5737,0.3987,,0.5437,0.2049,0.4724,152.189,2026-06-23T01:28:31.922107
poker,gap,10,40000,2,arch,70,2,disjoint,0.5919,0.5395,,0.5548,0.1654,0.5319,121.529,2026-06-23T01:30:37.757640
poker,gap,10,40000,2,arch,70,3,disjoint,0.6002,0.5576,,0.5538,0.1533,0.4783,131.537,2026-06-23T01:32:56.128006
poker,gap,10,40000,2,arch,70,4,disjoint,0.6027,0.5844,,0.5499,0.1672,0.4965,138.53,2026-06-23T01:35:23.869862
poker,gap,10,40000,2,arch,70,5,disjoint,0.6082,0.6259,,0.5542,0.1768,0.436,157.946,2026-06-23T01:38:13.564681
poker,gap,10,70000,0,flat_arccos,0,0,disjoint,0.5681,0.1922,,0.5517,0.1874,,95.572,2026-06-23T01:39:50.184457
poker,gap,10,70000,0,rbf_rff,0,0,disjoint,0.6075,0.2931,,0.5652,0.2084,,1332.369,2026-06-23T02:02:21.994286
poker,gap,10,70000,0,arch,20,1,disjoint,0.5694,0.2616,,0.5519,0.231,,78.821,2026-06-23T02:03:42.447212
poker,gap,10,70000,0,arch,20,2,disjoint,0.585,0.3483,,0.5566,0.1903,,109.563,2026-06-23T02:05:35.193856
poker,gap,10,70000,0,arch,20,3,disjoint,0.5912,0.3826,,0.5541,0.2022,,138.477,2026-06-23T02:07:58.484202
poker,gap,10,70000,0,arch,20,4,disjoint,0.5963,0.4318,,0.5512,0.1511,,168.652,2026-06-23T02:10:53.568097
poker,gap,10,70000,0,arch,20,5,disjoint,0.6015,0.4753,,0.5494,0.1741,,200.884,2026-06-23T02:14:22.553361
poker,gap,10,70000,0,arch,50,1,disjoint,0.5676,0.362,,0.5484,0.2471,,133.047,2026-06-23T02:16:37.955000
poker,gap,10,70000,0,arch,50,2,disjoint,0.5825,0.3908,,0.5558,0.1664,,118.555,2026-06-23T02:18:41.911698
poker,gap,10,70000,0,arch,50,3,disjoint,0.5858,0.4109,,0.5547,0.1895,,144.391,2026-06-23T02:21:14.706332
poker,gap,10,70000,0,arch,50,4,disjoint,0.5892,0.474,,0.5537,0.1999,,178.683,2026-06-23T02:24:24.820143
poker,gap,10,70000,0,arch,50,5,disjoint,0.5924,0.5281,,0.5496,0.1972,,220.844,2026-06-23T02:28:20.020245
poker,gap,10,70000,0,arch,70,1,disjoint,0.567,0.3802,,0.547,0.2385,,211.966,2026-06-23T02:31:54.905432
poker,gap,10,70000,0,arch,70,2,disjoint,0.5828,0.4017,,0.5609,0.2051,,119.504,2026-06-23T02:34:01.205880
poker,gap,10,70000,0,arch,70,3,disjoint,0.5912,0.4256,,0.558,0.1981,,129.122,2026-06-23T02:36:21.182823
poker,gap,10,70000,0,arch,70,4,disjoint,0.5939,0.4892,,0.5541,0.188,,151.945,2026-06-23T02:39:07.672171
poker,gap,10,70000,0,arch,70,5,disjoint,0.5963,0.5606,,0.5537,0.1841,,171.825,2026-06-23T02:42:17.857250
poker,gap,10,70000,1,flat_arccos,0,0,disjoint,0.5656,0.1791,,0.5575,0.1516,,101.137,2026-06-23T02:43:59.993799
poker,gap,10,70000,1,rbf_rff,0,0,disjoint,0.6036,0.3425,,0.5731,0.168,,1345.407,2026-06-23T03:06:44.794576
poker,gap,10,70000,1,arch,20,1,disjoint,0.5663,0.3668,,0.5582,0.2481,,84.284,2026-06-23T03:08:10.711807
poker,gap,10,70000,1,arch,20,2,disjoint,0.5824,0.4243,,0.5638,0.1731,,113.175,2026-06-23T03:10:07.296771
poker,gap,10,70000,1,arch,20,3,disjoint,0.5875,0.443,,0.5632,0.1594,,144.351,2026-06-23T03:12:36.777033
poker,gap,10,70000,1,arch,20,4,disjoint,0.5933,0.4873,,0.5597,0.1769,,177.739,2026-06-23T03:15:41.426140
