dataset,d,n,seed,method,train_acc,train_f1,train_auc,test_acc,test_f1,test_auc,fit_time_s,timestamp
breast_cancer,9,499,0,linear_svm,0.9739,0.9712,0.997,0.955,0.9507,0.9925,0.001,2026-06-24T10:07:17.952052
breast_cancer,9,499,0,grad_boost,1.0,1.0,1.0,0.95,0.9454,0.9834,0.126,2026-06-24T10:07:18.095908
breast_cancer,9,499,0,shallow_rff,0.998,0.9978,1.0,0.94,0.9336,0.9796,0.056,2026-06-24T10:07:18.253131
breast_cancer,9,499,0,mlp,0.9719,0.969,0.9958,0.945,0.9398,0.9931,0.284,2026-06-24T10:07:18.589524
breast_cancer,9,499,0,rbf_exact,0.996,0.9956,0.9999,0.935,0.9278,0.9761,0.006,2026-06-24T10:07:18.624436
breast_cancer,9,499,1,linear_svm,0.9719,0.9691,0.996,0.955,0.9489,0.9966,0.004,2026-06-24T10:07:18.653976
breast_cancer,9,499,1,grad_boost,1.0,1.0,1.0,0.95,0.9435,0.9929,0.175,2026-06-24T10:07:18.852182
breast_cancer,9,499,1,shallow_rff,0.998,0.9978,1.0,0.95,0.943,0.9937,0.066,2026-06-24T10:07:19.067458
breast_cancer,9,499,1,mlp,0.9739,0.9717,0.9953,0.955,0.9493,0.995,0.249,2026-06-24T10:07:19.371614
breast_cancer,9,499,1,rbf_exact,0.996,0.9956,1.0,0.95,0.9435,0.9905,0.003,2026-06-24T10:07:19.389889
breast_cancer,9,499,2,linear_svm,0.98,0.9779,0.9973,0.935,0.9278,0.9895,0.002,2026-06-24T10:07:19.405105
breast_cancer,9,499,2,grad_boost,1.0,1.0,1.0,0.96,0.956,0.9894,0.221,2026-06-24T10:07:19.649543
breast_cancer,9,499,2,shallow_rff,0.992,0.9912,0.9999,0.935,0.9293,0.9859,0.072,2026-06-24T10:07:19.810711
breast_cancer,9,499,2,mlp,0.98,0.9781,0.9969,0.955,0.9513,0.9893,0.17,2026-06-24T10:07:20.020000
breast_cancer,9,499,2,rbf_exact,0.996,0.9956,1.0,0.94,0.9332,0.9851,0.003,2026-06-24T10:07:20.040200
breast_cancer,9,499,3,linear_svm,0.9719,0.9689,0.9954,0.97,0.967,0.9973,0.002,2026-06-24T10:07:20.057487
