dataset,d,n,seed,method,train_acc,train_f1,train_auc,test_acc,test_f1,test_auc,fit_time_s,timestamp
madelon,500,2340,0,linear_svm,0.7256,0.7256,0.8035,0.6154,0.6154,0.6131,0.32,2026-06-24T21:37:36.378610
madelon,500,2340,0,grad_boost,1.0,1.0,1.0,0.8154,0.8151,0.8833,4.487,2026-06-24T21:37:40.971595
madelon,500,2340,0,shallow_rff,0.915,0.9149,0.9628,0.5769,0.5767,0.5796,1.157,2026-06-24T21:37:42.805958
madelon,500,2340,0,mlp,0.688,0.6757,0.8128,0.5154,0.4881,0.5714,5.085,2026-06-24T21:37:48.198201
madelon,500,2340,0,rbf_exact,1.0,1.0,1.0,0.5962,0.5957,0.6388,1.658,2026-06-24T21:37:55.872136
madelon,500,2340,1,linear_svm,0.7355,0.7355,0.8143,0.5385,0.5385,0.5274,0.323,2026-06-24T21:37:56.862148
madelon,500,2340,1,grad_boost,1.0,1.0,1.0,0.8269,0.8269,0.9191,4.953,2026-06-24T21:38:01.933094
madelon,500,2340,1,shallow_rff,0.9137,0.9136,0.9647,0.5308,0.5298,0.5317,1.014,2026-06-24T21:38:03.588453
madelon,500,2340,1,mlp,0.9551,0.9551,0.9839,0.55,0.5451,0.5798,9.225,2026-06-24T21:38:13.030200
madelon,500,2340,1,rbf_exact,1.0,1.0,1.0,0.5577,0.5576,0.5718,1.283,2026-06-24T21:38:19.702573
madelon,500,2340,2,linear_svm,0.7282,0.7282,0.805,0.5538,0.5536,0.6064,0.324,2026-06-24T21:38:20.611667
madelon,500,2340,2,grad_boost,1.0,1.0,1.0,0.8,0.7998,0.8877,4.764,2026-06-24T21:38:25.509979
madelon,500,2340,2,shallow_rff,0.9064,0.9064,0.9601,0.5346,0.5338,0.57,1.324,2026-06-24T21:38:27.457264
madelon,500,2340,2,mlp,0.8714,0.8712,0.9404,0.5615,0.5564,0.5814,8.738,2026-06-24T21:38:36.371985
madelon,500,2340,2,rbf_exact,1.0,1.0,1.0,0.5885,0.5867,0.6254,1.58,2026-06-24T21:38:43.341403
madelon,500,2340,3,linear_svm,0.7333,0.7333,0.8104,0.5231,0.5213,0.5622,0.336,2026-06-24T21:38:44.236701
madelon,500,2340,3,grad_boost,1.0,1.0,1.0,0.8385,0.8385,0.8991,9.697,2026-06-24T21:38:56.220265
madelon,500,2340,3,shallow_rff,0.9282,0.9282,0.9748,0.5077,0.5077,0.5385,1.098,2026-06-24T21:38:57.946984
madelon,500,2340,3,mlp,0.6979,0.6831,0.8281,0.5462,0.5128,0.5808,8.253,2026-06-24T21:39:06.622410
madelon,500,2340,3,rbf_exact,1.0,1.0,1.0,0.5577,0.5574,0.6088,1.598,2026-06-24T21:39:13.984755
madelon,500,2340,4,linear_svm,0.7274,0.7273,0.8058,0.6038,0.6031,0.6382,0.43,2026-06-24T21:39:15.008876
madelon,500,2340,4,grad_boost,1.0,1.0,1.0,0.8462,0.846,0.911,4.787,2026-06-24T21:39:19.943558
madelon,500,2340,4,shallow_rff,0.9154,0.9154,0.9679,0.5769,0.5768,0.6059,1.129,2026-06-24T21:39:21.580631
madelon,500,2340,4,mlp,0.7526,0.7494,0.8383,0.5808,0.573,0.5953,5.664,2026-06-24T21:39:27.459009
madelon,500,2340,4,rbf_exact,1.0,1.0,1.0,0.6269,0.6265,0.6718,1.515,2026-06-24T21:39:34.180184
madelon,500,2340,0,arch_proposed,0.75,0.7496,0.8143,0.5962,0.5924,0.6404,3.089,2026-06-24T21:51:30.396644
madelon,500,2340,1,arch_proposed,0.7474,0.747,0.8171,0.5654,0.5599,0.6108,3.439,2026-06-24T21:51:35.066672
madelon,500,2340,2,arch_proposed,0.7462,0.7454,0.8164,0.5538,0.5407,0.5935,3.755,2026-06-24T21:51:41.172918
madelon,500,2340,3,arch_proposed,0.753,0.7519,0.812,0.5731,0.5691,0.6276,7.944,2026-06-24T21:51:50.326019
madelon,500,2340,4,arch_proposed,0.7346,0.7326,0.8104,0.5846,0.5724,0.6365,3.021,2026-06-24T21:51:54.341225
