dataset,d,n,seed,method,train_acc,train_f1,train_auc,test_acc,test_f1,test_auc,fit_time_s,timestamp
magic,10,15216,0,linear_svm,0.7909,0.7562,0.8401,0.7842,0.7471,0.8395,0.019,2026-06-24T04:30:27.140698
magic,10,15216,0,grad_boost,0.9157,0.9046,0.9688,0.8835,0.868,0.9395,0.17,2026-06-24T04:30:27.378817
magic,10,15216,0,shallow_rff,0.8691,0.8502,0.9147,0.8715,0.8529,0.9207,0.68,2026-06-24T04:30:28.877786
magic,10,15216,0,mlp,0.9023,0.8885,0.9561,0.8764,0.8585,0.9349,13.064,2026-06-24T04:30:42.298847
magic,10,15216,0,rbf_exact,0.884,0.8658,0.9356,0.8751,0.8553,0.9285,2.751,2026-06-24T04:30:50.174477
magic,10,15216,0,arch_proposed,0.8711,0.8532,0.9324,0.8762,0.8591,0.9316,20.001,2026-06-24T04:32:42.680350
magic,10,15216,1,linear_svm,0.79,0.7551,0.8408,0.7876,0.7526,0.8367,0.032,2026-06-24T04:32:44.075806
magic,10,15216,1,grad_boost,0.951,0.9451,0.9894,0.878,0.8628,0.9358,0.474,2026-06-24T04:32:44.728448
magic,10,15216,1,shallow_rff,0.8731,0.8557,0.9194,0.8641,0.8459,0.9122,0.869,2026-06-24T04:32:46.531110
magic,10,15216,1,mlp,0.8825,0.8657,0.9366,0.8649,0.8461,0.9268,6.77,2026-06-24T04:32:53.666186
magic,10,15216,1,rbf_exact,0.8864,0.869,0.9368,0.872,0.8522,0.9235,2.631,2026-06-24T04:33:01.339455
magic,10,15216,1,arch_proposed,0.8711,0.8533,0.9299,0.8601,0.8407,0.9231,17.852,2026-06-24T04:34:48.383309
magic,10,15216,2,linear_svm,0.7921,0.7577,0.8412,0.7784,0.74,0.8362,0.057,2026-06-24T04:34:49.496697
magic,10,15216,2,grad_boost,0.929,0.9201,0.9796,0.8822,0.8665,0.9328,0.325,2026-06-24T04:34:49.945087
magic,10,15216,2,shallow_rff,0.8651,0.8417,0.9197,0.8599,0.8349,0.9138,0.835,2026-06-24T04:34:51.720254
magic,10,15216,2,mlp,0.8904,0.8746,0.9481,0.8696,0.8502,0.9235,12.241,2026-06-24T04:35:04.332016
magic,10,15216,2,rbf_exact,0.8877,0.8703,0.9378,0.8683,0.8471,0.9201,2.616,2026-06-24T04:35:12.006042
magic,10,15216,2,arch_proposed,0.8741,0.857,0.9338,0.8688,0.8509,0.9178,13.587,2026-06-24T04:36:53.258726
covertype,98,100000,0,linear_svm,0.714,0.4585,0.9259,0.7131,0.462,0.924,61.966,2026-06-24T04:37:55.868414
covertype,98,100000,0,grad_boost,0.8461,0.8489,0.9768,0.8264,0.7852,0.9562,6.066,2026-06-24T04:38:04.845263
covertype,98,100000,0,shallow_rff,0.7292,0.4775,0.9392,0.7284,0.4569,0.9352,5.256,2026-06-24T04:38:15.470502
covertype,98,100000,0,mlp,0.9544,0.9292,0.9978,0.918,0.8761,0.9925,231.148,2026-06-24T04:42:08.322173
covertype,98,100000,0,rbf_exact,-,-,-,-,-,-,-,2026-06-24T04:42:08.439762
covertype,98,100000,0,arch_proposed,0.7598,0.671,0.9545,0.7584,0.677,0.9518,119.783,2026-06-24T04:48:19.862526
covertype,98,100000,1,linear_svm,0.7119,0.4609,0.925,0.7095,0.4706,0.9237,58.925,2026-06-24T04:49:20.276550
covertype,98,100000,1,grad_boost,0.9258,0.9564,0.9937,0.884,0.8653,0.9828,22.935,2026-06-24T04:49:54.990677
covertype,98,100000,1,shallow_rff,0.7269,0.4759,0.9392,0.7251,0.4779,0.9388,5.088,2026-06-24T04:50:05.844826
covertype,98,100000,1,mlp,0.9574,0.9343,0.9979,0.9178,0.8752,0.9918,300.877,2026-06-24T04:55:08.805387
covertype,98,100000,1,rbf_exact,-,-,-,-,-,-,-,2026-06-24T04:55:08.946617
covertype,98,100000,1,arch_proposed,0.7739,0.6934,0.959,0.7663,0.6829,0.9566,382.469,2026-06-24T05:05:43.684490
covertype,98,100000,2,linear_svm,0.7112,0.4608,0.9247,0.7169,0.4706,0.9284,45.746,2026-06-24T05:06:31.166785
covertype,98,100000,2,grad_boost,0.8609,0.8785,0.9817,0.8436,0.7942,0.9566,7.894,2026-06-24T05:06:42.954485
covertype,98,100000,2,shallow_rff,0.7241,0.4586,0.9351,0.7339,0.4766,0.9385,5.455,2026-06-24T05:06:53.865590
covertype,98,100000,2,mlp,0.9438,0.9171,0.9969,0.9059,0.8525,0.9911,192.114,2026-06-24T05:10:07.740046
covertype,98,100000,2,rbf_exact,-,-,-,-,-,-,-,2026-06-24T05:10:07.856705
covertype,98,100000,2,arch_proposed,0.7574,0.6617,0.955,0.758,0.6391,0.9537,112.19,2026-06-24T05:15:54.482734
spambase,57,3681,0,linear_svm,0.9283,0.9243,0.9751,0.9239,0.9196,0.9721,0.133,2026-06-24T05:15:55.995411
spambase,57,3681,0,grad_boost,0.9992,0.9991,1.0,0.962,0.9602,0.9915,0.609,2026-06-24T05:15:56.688856
spambase,57,3681,0,shallow_rff,0.9522,0.9495,0.9853,0.9283,0.9245,0.9766,0.296,2026-06-24T05:15:57.287150
spambase,57,3681,0,mlp,0.9861,0.9855,0.9978,0.9478,0.9453,0.9813,3.899,2026-06-24T05:16:01.306402
spambase,57,3681,0,rbf_exact,0.966,0.9642,0.9919,0.9293,0.9258,0.9775,0.224,2026-06-24T05:16:01.957313
spambase,57,3681,0,arch_proposed,0.9315,0.9283,0.9812,0.9228,0.9191,0.9742,1.546,2026-06-24T05:16:26.045482
spambase,57,3681,1,linear_svm,0.928,0.9239,0.9771,0.9228,0.9189,0.966,0.078,2026-06-24T05:16:26.201300
spambase,57,3681,1,grad_boost,0.9995,0.9994,1.0,0.9543,0.9524,0.9848,0.556,2026-06-24T05:16:26.840076
spambase,57,3681,1,shallow_rff,0.9506,0.9481,0.9851,0.937,0.9341,0.9745,0.283,2026-06-24T05:16:27.422239
spambase,57,3681,1,mlp,0.984,0.9831,0.9979,0.9489,0.9462,0.9745,4.302,2026-06-24T05:16:31.845280
spambase,57,3681,1,rbf_exact,0.9663,0.9645,0.9919,0.9348,0.9315,0.9784,0.215,2026-06-24T05:16:32.497271
spambase,57,3681,1,arch_proposed,0.9329,0.9293,0.9828,0.9261,0.9226,0.9734,1.855,2026-06-24T05:16:56.427620
spambase,57,3681,2,linear_svm,0.9299,0.926,0.9761,0.9272,0.9236,0.9715,0.103,2026-06-24T05:16:56.617175
spambase,57,3681,2,grad_boost,0.9997,0.9997,1.0,0.962,0.96,0.9918,0.534,2026-06-24T05:16:57.235463
spambase,57,3681,2,shallow_rff,0.9508,0.9481,0.9838,0.9315,0.9275,0.9775,0.304,2026-06-24T05:16:57.845997
spambase,57,3681,2,mlp,0.9853,0.9846,0.9976,0.9478,0.9457,0.9821,3.906,2026-06-24T05:17:01.864404
spambase,57,3681,2,rbf_exact,0.9685,0.9668,0.9917,0.9326,0.9291,0.9817,0.223,2026-06-24T05:17:02.522443
spambase,57,3681,2,arch_proposed,0.9324,0.9289,0.975,0.9315,0.9281,0.972,1.002,2026-06-24T05:17:26.431227
breast_cancer,9,499,0,linear_svm,0.9739,0.9712,0.997,0.955,0.9507,0.9925,0.002,2026-06-24T05:17:26.493851
breast_cancer,9,499,0,grad_boost,1.0,1.0,1.0,0.95,0.9454,0.9834,0.232,2026-06-24T05:17:26.764718
breast_cancer,9,499,0,shallow_rff,0.994,0.9934,0.9998,0.95,0.9454,0.9857,0.042,2026-06-24T05:17:26.866581
breast_cancer,9,499,0,mlp,0.9719,0.969,0.9958,0.945,0.9398,0.9931,0.223,2026-06-24T05:17:27.121270
breast_cancer,9,499,0,rbf_exact,0.996,0.9956,0.9999,0.935,0.9278,0.9761,0.004,2026-06-24T05:17:27.146580
breast_cancer,9,499,0,arch_proposed,0.976,0.9736,0.9971,0.96,0.9566,0.983,0.381,2026-06-24T05:17:32.928285
breast_cancer,9,499,1,linear_svm,0.9719,0.9691,0.996,0.955,0.9489,0.9966,0.002,2026-06-24T05:17:32.990821
breast_cancer,9,499,1,grad_boost,1.0,1.0,1.0,0.95,0.9435,0.9929,0.213,2026-06-24T05:17:33.226364
breast_cancer,9,499,1,shallow_rff,0.998,0.9978,0.9999,0.945,0.938,0.9936,0.053,2026-06-24T05:17:33.338567
breast_cancer,9,499,1,mlp,0.9739,0.9717,0.9953,0.955,0.9493,0.995,0.205,2026-06-24T05:17:33.577216
breast_cancer,9,499,1,rbf_exact,0.996,0.9956,1.0,0.95,0.9435,0.9905,0.003,2026-06-24T05:17:33.603445
breast_cancer,9,499,1,arch_proposed,0.9719,0.9695,0.9938,0.955,0.9489,0.9967,0.43,2026-06-24T05:17:39.812000
