dataset,n,seed,mlp_acc,rbf_acc,accL1,accL2,accL3,accL4,accL5,depth_gain,mlp_headroom,timestamp
Checkerboard_2D,1000,0,0.9602,0.7806,0.7613,0.8964,0.9133,0.9139,0.902,0.1526,0.1989,2026-06-22T11:09:48.857166
Checkerboard_2D,1000,1,0.9657,0.7943,0.7646,0.91,0.9372,0.92,0.9213,0.1726,0.2011,2026-06-22T11:09:58.333392
Checkerboard_2D,1000,2,0.9619,0.8083,0.7646,0.905,0.9458,0.9144,0.8925,0.1812,0.1973,2026-06-22T11:10:06.322219
Checkerboard_2D,5000,0,0.9688,0.9216,0.7656,0.9059,0.9343,0.9398,0.9434,0.1778,0.2032,2026-06-22T11:10:38.201183
Checkerboard_2D,5000,1,0.9829,0.9229,0.7661,0.9108,0.9301,0.9317,0.9406,0.1745,0.2168,2026-06-22T11:11:10.568208
Checkerboard_2D,5000,2,0.9715,0.9047,0.7651,0.8896,0.9227,0.9285,0.9254,0.1634,0.2064,2026-06-22T11:11:47.190162
Checkerboard_2D,10000,0,0.9847,0.9451,0.7656,0.9066,0.9314,0.9391,0.956,0.1904,0.2191,2026-06-22T11:13:01.597629
Checkerboard_2D,10000,1,0.966,0.9445,0.7616,0.9115,0.9379,0.9427,0.9494,0.1878,0.2044,2026-06-22T11:14:14.352772
Checkerboard_2D,10000,2,0.9832,0.9366,0.7673,0.9045,0.944,0.9482,0.952,0.1847,0.2159,2026-06-22T11:15:33.539705
Spirals_2D,1000,0,0.9985,0.7039,0.5747,0.8732,0.9614,0.9614,0.9988,0.4241,0.4238,2026-06-22T11:15:46.774968
Spirals_2D,1000,1,0.9997,0.7261,0.5696,0.8107,0.9141,0.9502,0.9865,0.4169,0.4301,2026-06-22T11:16:01.093695
Spirals_2D,1000,2,0.999,0.7473,0.5764,0.8621,0.9677,0.9844,0.9909,0.4145,0.4226,2026-06-22T11:16:15.297614
Spirals_2D,5000,0,0.9999,0.8123,0.5829,0.8882,0.9964,0.9973,0.9927,0.4144,0.417,2026-06-22T11:16:56.131265
Spirals_2D,5000,1,0.9999,0.8331,0.5914,0.7684,0.9818,0.9876,0.985,0.3962,0.4085,2026-06-22T11:17:34.532082
Spirals_2D,5000,2,0.9999,0.8336,0.5813,0.999,0.9994,0.9973,0.9977,0.4181,0.4186,2026-06-22T11:18:22.806795
Spirals_2D,10000,0,1.0,0.8812,0.587,0.9599,0.9976,0.9979,0.9985,0.4115,0.413,2026-06-22T11:19:40.159575
Spirals_2D,10000,1,1.0,0.8546,0.593,0.8609,0.9994,0.9981,0.9982,0.4064,0.407,2026-06-22T11:21:00.128955
Spirals_2D,10000,2,1.0,0.8528,0.5911,0.9547,0.9973,0.9971,0.9976,0.4065,0.4089,2026-06-22T11:22:14.549223
