dataset,n,seed,mlp_acc,mlp_time,rbf_acc,rbf_time,accL1,tL1,accL2,tL2,accL3,tL3,accL4,tL4,accL5,tL5,gain_vs_rbf_pct,timestamp
Check_2D_Bin,1000,0,0.9602,1.76,0.7806,0.21,0.7613,0.62,0.8964,1.02,0.9133,1.01,0.9139,1.03,0.902,1.15,13.33,2026-06-22T12:56:34.694862
Check_2D_Bin,1000,1,0.9657,3.77,0.7943,0.29,0.7646,0.43,0.91,0.78,0.9372,1.31,0.92,1.19,0.9213,1.38,14.29,2026-06-22T12:56:43.835394
Check_2D_Bin,1000,2,0.9619,3.44,0.8083,0.32,0.7646,0.42,0.905,0.68,0.9458,0.87,0.9144,1.08,0.8925,1.27,13.75,2026-06-22T12:56:51.955980
Check_2D_Bin,5000,0,0.9688,8.46,0.9216,1.04,0.7656,2.11,0.9059,4.06,0.9343,4.9,0.9398,5.47,0.9434,6.0,2.18,2026-06-22T12:57:23.993484
Check_2D_Bin,5000,1,0.9829,8.9,0.9229,1.06,0.7661,2.14,0.9108,4.03,0.9301,4.89,0.9317,5.36,0.9406,5.79,1.77,2026-06-22T12:57:56.184722
Check_2D_Bin,5000,2,0.9715,7.78,0.9047,1.02,0.7651,2.34,0.8896,4.42,0.9227,5.43,0.9285,5.93,0.9254,6.44,2.38,2026-06-22T12:58:29.543508
Check_2D_Bin,10000,0,0.9847,13.21,0.9451,2.37,0.7656,4.43,0.9066,8.68,0.9314,10.51,0.9391,11.43,0.956,12.37,1.09,2026-06-22T12:59:32.565724
Check_2D_Bin,10000,1,0.966,17.84,0.9445,2.36,0.7616,4.42,0.9115,8.6,0.9379,10.46,0.9427,11.34,0.9494,12.03,0.49,2026-06-22T13:00:39.614586
Check_2D_Bin,10000,2,0.9832,10.01,0.9366,2.32,0.7673,4.7,0.9045,9.06,0.944,10.81,0.9482,11.75,0.952,12.48,1.54,2026-06-22T13:01:40.758051
Spirals_2D_Bin,1000,0,0.9985,4.4,0.7039,0.28,0.5747,0.42,0.8732,0.93,0.9614,1.14,0.9614,1.37,0.9988,1.6,29.49,2026-06-22T13:01:50.902711
Spirals_2D_Bin,1000,1,0.9997,4.99,0.7261,0.27,0.5696,0.42,0.8107,0.92,0.9141,1.15,0.9502,1.35,0.9865,1.52,26.04,2026-06-22T13:02:01.528024
Spirals_2D_Bin,1000,2,0.999,4.57,0.7473,0.25,0.5764,0.43,0.8621,0.89,0.9677,1.45,0.9844,1.34,0.9909,1.54,24.36,2026-06-22T13:02:12.005462
Spirals_2D_Bin,5000,0,0.9999,8.25,0.8123,1.42,0.5829,2.39,0.8882,5.69,0.9964,6.39,0.9973,6.88,0.9927,7.06,18.5,2026-06-22T13:02:50.095607
Spirals_2D_Bin,5000,1,0.9999,8.03,0.8331,1.39,0.5914,2.21,0.7684,5.61,0.9818,6.68,0.9876,6.99,0.985,7.33,15.45,2026-06-22T13:03:28.347652
Spirals_2D_Bin,5000,2,0.9999,7.93,0.8336,1.48,0.5813,2.37,0.999,5.67,0.9994,6.32,0.9973,6.5,0.9977,6.71,16.58,2026-06-22T13:04:05.343052
Spirals_2D_Bin,10000,0,1.0,10.49,0.8812,4.1,0.587,5.55,0.9599,14.17,0.9976,15.28,0.9979,14.67,0.9985,14.51,11.73,2026-06-22T13:05:24.140214
Spirals_2D_Bin,10000,1,1.0,12.93,0.8546,4.36,0.593,5.5,0.8609,12.6,0.9994,14.3,0.9981,15.54,0.9982,15.17,14.48,2026-06-22T13:06:44.559611
Spirals_2D_Bin,10000,2,1.0,15.59,0.8528,4.95,0.5911,5.15,0.9547,13.08,0.9973,14.12,0.9971,15.86,0.9976,14.54,14.48,2026-06-22T13:08:07.865305
Quad_XOR_Bin,1000,0,0.985,4.0,0.9828,0.08,0.989,0.24,0.9901,0.43,0.9899,0.56,0.9893,0.7,0.9897,0.9,0.73,2026-06-22T13:08:14.793953
