dataset,n,seed,mlp_acc,mlp_time,rbf_acc,rbf_time,gap,timestamp
TicTacToe,767,0,0.9581,2.52,0.9738,0.05,-1.57,2026-06-22T14:00:31.280332
TicTacToe,767,1,0.9791,3.47,0.9843,0.06,-0.52,2026-06-22T14:00:34.816510
TicTacToe,767,2,0.9634,3.45,0.9843,0.08,-2.09,2026-06-22T14:00:38.349218
Splice,1000,0,0.931,3.23,0.9545,0.27,-2.35,2026-06-22T14:00:41.980559
Splice,1000,1,0.9169,5.26,0.9498,0.3,-3.29,2026-06-22T14:00:47.559432
Splice,1000,2,0.942,3.7,0.9608,0.26,-1.88,2026-06-22T14:00:51.531097
Connect4,1000,0,0.7258,8.02,0.711,1.25,1.48,2026-06-22T14:01:04.929189
Connect4,1000,1,0.7425,9.16,0.7308,1.3,1.17,2026-06-22T14:01:15.397492
Connect4,1000,2,0.7242,8.66,0.7158,1.34,0.84,2026-06-22T14:01:25.403824
Connect4,5000,0,0.7812,48.44,0.7655,8.18,1.57,2026-06-22T14:02:22.049879
Connect4,5000,1,0.7819,64.81,0.7725,7.72,0.94,2026-06-22T14:03:34.603411
Connect4,5000,2,0.7842,62.92,0.7745,8.08,0.97,2026-06-22T14:04:45.620502
Connect4,10000,0,0.8029,108.78,0.7907,26.03,1.22,2026-06-22T14:07:00.467492
Connect4,10000,1,0.8071,170.48,0.7927,19.52,1.44,2026-06-22T14:10:10.489818
