dataset,n_train,n_test,d,n_classes,strategy,m,L,n_per_svm,W_cols,mean_cos_sim,train_acc,test_acc,note,time_s
HIGGS,1000,20000,28,2,A_baseline_fullinput_m1,1,1,1000,,,1.0,0.5737,,0.3
HIGGS,1000,20000,28,2,A_baseline_fullinput_m1,1,2,1000,,,1.0,0.5738,,0.3
HIGGS,1000,20000,28,2,A_baseline_fullinput_m1,1,3,1000,,,1.0,0.5732,,0.4
HIGGS,1000,20000,28,2,B_phi_featpart,1,1,1000,1,1.0,1.0,0.5737,,0.3
HIGGS,1000,20000,28,2,B_phi_featpart,1,2,1000,1,1.0,1.0,0.5737,,0.3
HIGGS,1000,20000,28,2,B_phi_featpart,1,3,1000,1,1.0,1.0,0.5732,,0.4
HIGGS,1000,20000,28,2,B_phi_featpart,10,1,100,10,0.0,0.749,0.6179,,0.1
HIGGS,1000,20000,28,2,B_phi_featpart,10,2,100,10,0.0,0.7793,0.614,,0.2
HIGGS,1000,20000,28,2,B_phi_featpart,10,3,100,10,0.0,0.7813,0.6134,,0.3
HIGGS,1000,20000,28,2,B_phi_featpart,50,1,20,50,0.0,0.6863,0.604,,0.1
HIGGS,1000,20000,28,2,B_phi_featpart,50,2,20,50,0.0,0.701,0.6,,0.3
HIGGS,1000,20000,28,2,B_phi_featpart,50,3,20,50,0.0,0.7147,0.6017,,0.4
HIGGS,5000,20000,28,2,A_baseline_fullinput_m1,1,1,5000,,,0.7679,0.6149,,1.2
HIGGS,5000,20000,28,2,A_baseline_fullinput_m1,1,2,5000,,,0.7675,0.6154,,1.4
HIGGS,5000,20000,28,2,A_baseline_fullinput_m1,1,3,5000,,,0.7675,0.6153,,1.5
HIGGS,5000,20000,28,2,B_phi_featpart,1,1,5000,1,1.0,0.7679,0.6149,,1.3
HIGGS,5000,20000,28,2,B_phi_featpart,1,2,5000,1,1.0,0.7675,0.6154,,1.5
HIGGS,5000,20000,28,2,B_phi_featpart,1,3,5000,1,1.0,0.7675,0.6154,,1.6
HIGGS,5000,20000,28,2,B_phi_featpart,10,1,500,10,0.0,0.6725,0.6418,,0.4
HIGGS,5000,20000,28,2,B_phi_featpart,10,2,500,10,0.0,0.6866,0.6346,,0.9
HIGGS,5000,20000,28,2,B_phi_featpart,10,3,500,10,0.0,0.6877,0.6333,,1.2
HIGGS,5000,20000,28,2,B_phi_featpart,50,1,100,50,0.0,0.6447,0.6284,,0.5
HIGGS,5000,20000,28,2,B_phi_featpart,50,2,100,50,0.0,0.6458,0.6271,,0.9
HIGGS,5000,20000,28,2,B_phi_featpart,50,3,100,50,0.0,0.6507,0.6266,,1.3
HIGGS,10000,20000,28,2,A_baseline_fullinput_m1,1,1,10000,,,0.7203,0.6357,,2.4
HIGGS,10000,20000,28,2,A_baseline_fullinput_m1,1,2,10000,,,0.7205,0.6358,,2.6
HIGGS,10000,20000,28,2,A_baseline_fullinput_m1,1,3,10000,,,0.72,0.6355,,2.9
HIGGS,10000,20000,28,2,B_phi_featpart,1,1,10000,1,1.0,0.7203,0.6357,,2.3
HIGGS,10000,20000,28,2,B_phi_featpart,1,2,10000,1,1.0,0.7206,0.6357,,2.7
HIGGS,10000,20000,28,2,B_phi_featpart,1,3,10000,1,1.0,0.72,0.6355,,2.9
HIGGS,10000,20000,28,2,B_phi_featpart,10,1,1000,10,0.0,0.6616,0.6481,,0.9
HIGGS,10000,20000,28,2,B_phi_featpart,10,2,1000,10,0.0,0.6684,0.6441,,1.7
HIGGS,10000,20000,28,2,B_phi_featpart,10,3,1000,10,0.0,0.6683,0.6439,,2.2
HIGGS,10000,20000,28,2,B_phi_featpart,50,1,200,50,0.0,0.6401,0.6348,,0.8
HIGGS,10000,20000,28,2,B_phi_featpart,50,2,200,50,0.0,0.6395,0.6337,,1.6
HIGGS,10000,20000,28,2,B_phi_featpart,50,3,200,50,0.0,0.6414,0.6316,,2.2
HIGGS,50000,20000,28,2,A_baseline_fullinput_m1,1,1,50000,,,0.6874,0.6707,,9.7
HIGGS,50000,20000,28,2,A_baseline_fullinput_m1,1,2,50000,,,0.6878,0.6713,,11.1
HIGGS,50000,20000,28,2,A_baseline_fullinput_m1,1,3,50000,,,0.6877,0.6715,,12.3
HIGGS,50000,20000,28,2,B_phi_featpart,1,1,50000,1,1.0,0.6874,0.6707,,9.2
HIGGS,50000,20000,28,2,B_phi_featpart,1,2,50000,1,1.0,0.6878,0.6713,,9.9
HIGGS,50000,20000,28,2,B_phi_featpart,1,3,50000,1,1.0,0.6876,0.6715,,11.0
HIGGS,50000,20000,28,2,B_phi_featpart,10,1,5000,10,0.0,0.6561,0.6519,,4.7
HIGGS,50000,20000,28,2,B_phi_featpart,10,2,5000,10,0.0,0.6569,0.6532,,7.6
HIGGS,50000,20000,28,2,B_phi_featpart,10,3,5000,10,0.0,0.6568,0.6532,,9.7
HIGGS,50000,20000,28,2,B_phi_featpart,50,1,1000,50,0.0,0.6393,0.6362,,3.4
HIGGS,50000,20000,28,2,B_phi_featpart,50,2,1000,50,0.0,0.6393,0.6368,,6.4
HIGGS,50000,20000,28,2,B_phi_featpart,50,3,1000,50,0.0,0.6384,0.6364,,9.4
HIGGS,100000,20000,28,2,A_baseline_fullinput_m1,1,1,100000,,,0.6839,0.6718,,16.8
HIGGS,100000,20000,28,2,A_baseline_fullinput_m1,1,2,100000,,,0.6846,0.6721,,18.8
HIGGS,100000,20000,28,2,A_baseline_fullinput_m1,1,3,100000,,,0.6843,0.6722,,20.7
HIGGS,100000,20000,28,2,B_phi_featpart,1,1,100000,1,1.0,0.6839,0.6718,,15.5
HIGGS,100000,20000,28,2,B_phi_featpart,1,2,100000,1,1.0,0.6846,0.6721,,18.0
HIGGS,100000,20000,28,2,B_phi_featpart,1,3,100000,1,1.0,0.6843,0.6721,,20.2
HIGGS,100000,20000,28,2,B_phi_featpart,10,1,10000,10,0.0,0.6546,0.6542,,9.8
HIGGS,100000,20000,28,2,B_phi_featpart,10,2,10000,10,0.0,0.6555,0.6545,,15.1
HIGGS,100000,20000,28,2,B_phi_featpart,10,3,10000,10,0.0,0.6554,0.6545,,19.1
HIGGS,100000,20000,28,2,B_phi_featpart,50,1,2000,50,0.0,0.6396,0.6387,,7.6
HIGGS,100000,20000,28,2,B_phi_featpart,50,2,2000,50,0.0,0.6385,0.6375,,14.6
HIGGS,100000,20000,28,2,B_phi_featpart,50,3,2000,50,0.0,0.6376,0.6373,,21.0
HIGGS,200000,20000,28,2,A_baseline_fullinput_m1,1,1,200000,,,0.6811,0.6742,,32.1
HIGGS,200000,20000,28,2,A_baseline_fullinput_m1,1,2,200000,,,0.6817,0.6757,,35.9
HIGGS,200000,20000,28,2,A_baseline_fullinput_m1,1,3,200000,,,0.6818,0.6755,,39.2
HIGGS,200000,20000,28,2,B_phi_featpart,1,1,200000,1,1.0,0.6811,0.6742,,32.5
HIGGS,200000,20000,28,2,B_phi_featpart,1,2,200000,1,1.0,0.6817,0.6758,,37.4
HIGGS,200000,20000,28,2,B_phi_featpart,1,3,200000,1,1.0,0.6818,0.6757,,42.1
HIGGS,200000,20000,28,2,B_phi_featpart,10,1,20000,10,0.0,0.6533,0.6508,,20.5
HIGGS,200000,20000,28,2,B_phi_featpart,10,2,20000,10,0.0,0.6543,0.6517,,31.6
HIGGS,200000,20000,28,2,B_phi_featpart,10,3,20000,10,0.0,0.654,0.6513,,38.7
HIGGS,200000,20000,28,2,B_phi_featpart,50,1,4000,50,0.0,0.6384,0.6374,,16.6
HIGGS,200000,20000,28,2,B_phi_featpart,50,2,4000,50,0.0,0.6374,0.6347,,33.5
HIGGS,200000,20000,28,2,B_phi_featpart,50,3,4000,50,0.0,0.6363,0.6326,,47.0
CoverType,1000,20000,54,7,A_baseline_fullinput_m1,1,1,1000,,,0.9607,0.6653,,1.1
CoverType,1000,20000,54,7,A_baseline_fullinput_m1,1,2,1000,,,0.973,0.6572,,1.2
CoverType,1000,20000,54,7,A_baseline_fullinput_m1,1,3,1000,,,0.9797,0.6547,,1.4
CoverType,1000,20000,54,7,B_phi_featpart,1,1,1000,7,1.0,0.9607,0.6653,,1.0
CoverType,1000,20000,54,7,B_phi_featpart,1,2,1000,7,1.0,0.9737,0.6582,,1.2
CoverType,1000,20000,54,7,B_phi_featpart,1,3,1000,7,1.0,0.9783,0.6545,,1.4
CoverType,1000,20000,54,7,B_phi_featpart,10,1,100,70,0.0,0.848,0.6802,,0.6
CoverType,1000,20000,54,7,B_phi_featpart,10,2,100,70,0.0,0.887,0.6811,,0.9
CoverType,1000,20000,54,7,B_phi_featpart,10,3,100,70,0.0,0.9087,0.6765,,1.1
CoverType,1000,20000,54,7,B_phi_featpart,50,1,20,350,0.0,0.902,0.6665,,3.5
CoverType,1000,20000,54,7,B_phi_featpart,50,2,20,350,0.0,0.9207,0.6623,,3.5
CoverType,1000,20000,54,7,B_phi_featpart,50,3,20,350,0.0,0.9357,0.658,,3.5
CoverType,5000,20000,54,7,A_baseline_fullinput_m1,1,1,5000,,,0.8511,0.74,,6.9
CoverType,5000,20000,54,7,A_baseline_fullinput_m1,1,2,5000,,,0.8677,0.7407,,9.1
CoverType,5000,20000,54,7,A_baseline_fullinput_m1,1,3,5000,,,0.8799,0.7387,,11.1
CoverType,5000,20000,54,7,B_phi_featpart,1,1,5000,7,1.0,0.8511,0.74,,7.1
CoverType,5000,20000,54,7,B_phi_featpart,1,2,5000,7,1.0,0.8677,0.7399,,9.6
CoverType,5000,20000,54,7,B_phi_featpart,1,3,5000,7,1.0,0.8808,0.7385,,11.8
CoverType,5000,20000,54,7,B_phi_featpart,10,1,500,70,0.0,0.7729,0.7283,,2.8
CoverType,5000,20000,54,7,B_phi_featpart,10,2,500,70,0.0,0.7959,0.7366,,4.1
CoverType,5000,20000,54,7,B_phi_featpart,10,3,500,70,0.0,0.8112,0.7391,,5.5
CoverType,5000,20000,54,7,B_phi_featpart,50,1,100,350,0.0,0.8051,0.7325,,17.4
CoverType,5000,20000,54,7,B_phi_featpart,50,2,100,350,0.0,0.8121,0.7347,,13.8
CoverType,5000,20000,54,7,B_phi_featpart,50,3,100,350,0.0,0.8107,0.7306,,13.0
CoverType,10000,20000,54,7,A_baseline_fullinput_m1,1,1,10000,,,0.8183,0.7642,,15.8
CoverType,10000,20000,54,7,A_baseline_fullinput_m1,1,2,10000,,,0.8341,0.7677,,21.1
CoverType,10000,20000,54,7,A_baseline_fullinput_m1,1,3,10000,,,0.8432,0.7683,,25.6
CoverType,10000,20000,54,7,B_phi_featpart,1,1,10000,7,1.0,0.8183,0.7642,,15.7
CoverType,10000,20000,54,7,B_phi_featpart,1,2,10000,7,1.0,0.8335,0.7673,,21.2
CoverType,10000,20000,54,7,B_phi_featpart,1,3,10000,7,1.0,0.8432,0.7677,,25.8
CoverType,10000,20000,54,7,B_phi_featpart,10,1,1000,70,0.0,0.7509,0.7365,,5.7
CoverType,10000,20000,54,7,B_phi_featpart,10,2,1000,70,0.0,0.772,0.7487,,8.7
CoverType,10000,20000,54,7,B_phi_featpart,10,3,1000,70,0.0,0.7841,0.7557,,11.5
CoverType,10000,20000,54,7,B_phi_featpart,50,1,200,350,0.0,0.7805,0.7484,,33.9
CoverType,10000,20000,54,7,B_phi_featpart,50,2,200,350,0.0,0.7904,0.7481,,23.4
CoverType,10000,20000,54,7,B_phi_featpart,50,3,200,350,0.0,0.787,0.7464,,24.7
CoverType,50000,20000,54,7,A_baseline_fullinput_m1,1,1,50000,,,0.7972,0.7854,,100.3
CoverType,50000,20000,54,7,A_baseline_fullinput_m1,1,2,50000,,,0.8074,0.7932,,129.4
